title,year,score,runtime,rating,genre,gross,director
"
112.
Waking Sleeping Beauty
(2009)
",(2009),7.5,86 min,PG,"
Documentary, Drama, History            ","3,216","
    Director:
Don Hahn
| 
    Stars:
Roy Edward Disney, 
John Lasseter, 
Michael Eisner, 
Don Hahn
"
"
113.
Wizards of Waverly Place: The Movie
(2009 TV Movie)
",(2009 TV Movie),6.2,94 min,TV-G,"
Action, Adventure, Comedy            ","20,348","
    Director:
Lev L. Spiro
| 
    Stars:
Selena Gomez, 
David Henrie, 
Jake T. Austin, 
Jennifer Stone
"
"
114.
G-Force
(2009)
",(2009),5.1,88 min,PG,"
Action, Adventure, Comedy            ","49,224","
    Director:
Hoyt Yeatman
| 
    Stars:
Will Arnett, 
Penélope Cruz, 
Zach Galifianakis, 
Bill Nighy
"
"
115.
Princess Protection Program
(2009 TV Movie)
",(2009 TV Movie),5.6,90 min,TV-G,"
Comedy, Drama, Family            ","26,040","
    Director:
Allison Liddi-Brown
| 
    Stars:
Demi Lovato, 
Selena Gomez, 
Nicholas Braun, 
Molly Hagan
"
"
116.
Up
(2009)
",(2009),8.3,96 min,PG,"
Animation, Adventure, Comedy            ","1,102,464","
    Directors:
Pete Docter, 
Bob Peterson
| 
    Stars:
Edward Asner, 
Jordan Nagai, 
John Ratzenberger, 
Christopher Plummer
"
"
117.
Xiong mao hui jia lu
(2009)
",(2009),6.3,87 min,G,"
Adventure, Family            ",245,"
    Director:
Zhong Yu
| 
    Stars:
Daichi Harashima, 
Li Feng, 
Zhong Yu, 
Chang Liu
"
"
118.
Hatching Pete
(2009 TV Movie)
",(2009 TV Movie),5.3,90 min,TV-G,"
Comedy, Family            ","2,988","
    Director:
Stuart Gillard
| 
    Stars:
Jason Dolley, 
Mitchel Musso, 
Tiffany Thornton, 
Josie Loren
"
"
119.
Hannah Montana: The Movie
(2009)
",(2009),4.6,102 min,G,"
Comedy, Drama, Family            ","45,001","
    Director:
Peter Chelsom
| 
    Stars:
Miley Cyrus, 
Emily Osment, 
Billy Ray Cyrus, 
Jason Earles
"
"
120.
The Perfect Game
(2009)
",(2009),6.9,118 min,PG,"
Comedy, Drama, Family            ","4,079","
    Director:
William Dear
| 
    Stars:
Clifton Collins Jr., 
Cheech Marin, 
Moises Arias, 
Jake T. Austin
"
"
121.
Race to Witch Mountain
(2009)
",(2009),5.7,98 min,PG,"
Action, Adventure, Family            ","62,397","
    Director:
Andy Fickman
| 
    Stars:
Dwayne Johnson, 
Carla Gugino, 
AnnaSophia Robb, 
Alexander Ludwig
"
"
122.
Dadnapped
(2009 TV Movie)
",(2009 TV Movie),4.8,84 min,TV-G,"
Action, Adventure, Comedy            ","3,251","
    Director:
Paul Hoen
| 
    Stars:
Emily Osment, 
David Henrie, 
Jason Earles, 
Jonathan Keltz
"
"
123.
Bedtime Stories
(2008)
",(2008),6,99 min,PG,"
Adventure, Comedy, Family            ","100,086","
    Director:
Adam Shankman
| 
    Stars:
Adam Sandler, 
Keri Russell, 
Courteney Cox, 
Guy Pearce
"
"
124.
A Muppets Christmas: Letters to Santa
(2008 TV Movie)
",(2008 TV Movie),6.3,60 min,G,"
Comedy, Family, Music            ","2,398","
    Director:
Kirk R. Thatcher
| 
    Stars:
Steve Whitmire, 
Dave Goelz, 
Bill Barretta, 
Eric Jacobson
"
"
125.
Bolt
(2008)
",(2008),6.8,96 min,PG,"
Animation, Adventure, Comedy            ","225,003","
    Directors:
Byron Howard, 
Chris Williams
| 
    Stars:
John Travolta, 
Miley Cyrus, 
Susie Essman, 
Mark Walton
"
"
126.
High School Musical 3: Senior Year
(2008)
",(2008),4.9,112 min,G,"
Comedy, Drama, Family            ","66,475","
    Director:
Kenny Ortega
| 
    Stars:
Zac Efron, 
Vanessa Hudgens, 
Ashley Tisdale, 
Lucas Grabeel
"
"
127.
Morning Light
(2008)
",(2008),5.7,97 min,PG,"
Documentary, Sport            ",413,"
    Director:
Mark Monroe
| 
    Stars:
Chris Branning, 
Kate Theisen, 
Chris Schubert, 
Graham Brant-Zawadzki
"
"
128.
Beverly Hills Chihuahua
(2008)
",(2008),3.9,91 min,PG,"
Adventure, Comedy, Drama            ","25,548","
    Director:
Raja Gosnell
| 
    Stars:
Drew Barrymore, 
George Lopez, 
Piper Perabo, 
Manolo Cardona
"
"
129.
The Little Mermaid: Ariel's Beginning
(2008 Video)
",(2008 Video),6.1,77 min,G,"
Animation, Adventure, Comedy            ","11,120","
    Director:
Peggy Holmes
| 
    Stars:
Jodi Benson, 
Samuel E. Wright, 
Jim Cummings, 
Sally Field
"
"
130.
The Cheetah Girls: One World
(2008 TV Movie)
",(2008 TV Movie),4.6,90 min,TV-G,"
Comedy, Drama, Family            ","4,767","
    Director:
Paul Hoen
| 
    Stars:
Adrienne Houghton, 
Sabrina Bryan, 
Kiely Williams, 
Roshan Seth
"
"
131.
WALL·E
(2008)
",(2008),8.4,98 min,G,"
Animation, Adventure, Family            ","1,176,785","
    Director:
Andrew Stanton
| 
    Stars:
Ben Burtt, 
Elissa Knight, 
Jeff Garlin, 
Fred Willard
"
"
132.
The Chronicles of Narnia: Prince Caspian
(2008)
",(2008),6.5,150 min,PG,"
Action, Adventure, Family            ","221,739","
    Director:
Andrew Adamson
| 
    Stars:
Ben Barnes, 
Skandar Keynes, 
Georgie Henley, 
William Moseley
"
"
133.
Camp Rock
(2008 TV Movie)
",(2008 TV Movie),5.2,94 min,TV-G,"
Comedy, Family, Music            ","36,471","
    Director:
Matthew Diamond
| 
    Stars:
Demi Lovato, 
Joe Jonas, 
Meaghan Martin, 
Maria Canals-Barrera
"
"
134.
Walt & El Grupo
(2008)
",(2008),6.4,106 min,PG,"
Documentary            ",445,"
    Director:
Theodore Thomas
| 
    Stars:
Flávio Barroso, 
Lee Blair, 
Mary Blair, 
James Bodrero
"
"
135.
College Road Trip
(2008)
",(2008),4.3,83 min,G,"
Adventure, Comedy, Drama            ","16,567","
    Director:
Roger Kumble
| 
    Stars:
Raven-Symoné, 
Martin Lawrence, 
Kym Whitley, 
Adam LeFevre
"
"
136.
Minutemen
(2008 TV Movie)
",(2008 TV Movie),5.8,98 min,TV-G,"
Adventure, Comedy, Family            ","6,486","
    Director:
Lev L. Spiro
| 
    Stars:
Jason Dolley, 
Luke Benward, 
Nicholas Braun, 
Chelsea Kane
"
"
137.
National Treasure: Book of Secrets
(2007)
",(2007),6.5,124 min,PG,"
Action, Adventure, Mystery            ","250,085","
    Director:
Jon Turteltaub
| 
    Stars:
Nicolas Cage, 
Diane Kruger, 
Justin Bartha, 
Jon Voight
"
"
138.
Wish Gone Amiss
(2007 Video)
",(2007 Video),6.7,70 min,NA,"
Comedy, Family            ",239,
"
139.
Enchanted
(2007)
",(2007),7.1,107 min,PG,"
Animation, Adventure, Comedy            ","214,576","
    Director:
Kevin Lima
| 
    Stars:
Amy Adams, 
Susan Sarandon, 
James Marsden, 
Patrick Dempsey
"
"
140.
Twitches Too
(2007 TV Movie)
",(2007 TV Movie),5.7,83 min,TV-PG,"
Drama, Family, Fantasy            ","5,635","
    Director:
Stuart Gillard
| 
    Stars:
Tia Mowry, 
Tamera Mowry-Housley, 
Kristen Wilson, 
Patrick Fabian
"
"
141.
The Game Plan
(2007)
",(2007),6.4,110 min,PG,"
Comedy, Family, Sport            ","99,139","
    Director:
Andy Fickman
| 
    Stars:
Dwayne Johnson, 
Kyra Sedgwick, 
Madison Pettis, 
Roselyn Sanchez
"
"
142.
The Pixar Story
(2007)
",(2007),7.7,87 min,G,"
Documentary            ","6,962","
    Director:
Leslie Iwerks
| 
    Stars:
Stacy Keach, 
John Lasseter, 
Brad Bird, 
John Musker
"
"
143.
High School Musical 2
(2007 TV Movie)
",(2007 TV Movie),5.2,104 min,TV-G,"
Comedy, Drama, Family            ","64,898","
    Director:
Kenny Ortega
| 
    Stars:
Zac Efron, 
Vanessa Hudgens, 
Ashley Tisdale, 
Lucas Grabeel
"
"
144.
Underdog
(2007)
",(2007),4.8,84 min,PG,"
Action, Adventure, Comedy            ","22,488","
    Director:
Frederik Du Chau
| 
    Stars:
Peter Dinklage, 
Jason Lee, 
Amy Adams, 
Jim Belushi
"
"
145.
The Secret of the Magic Gourd
(2007)
",(2007),5,84 min,G,"
Adventure, Comedy, Drama            ",849,"
    Directors:
John Chu, 
Frankie Chung
| 
    Stars:
Corbin Bleu, 
Peisi Chen, 
Aaron Michael Drozin, 
Drake Johnston
"
"
146.
Ratatouille
(2007)
",(2007),8.1,111 min,G,"
Animation, Adventure, Comedy            ","800,746","
    Directors:
Brad Bird, 
Jan Pinkava
| 
    Stars:
Brad Garrett, 
Lou Romano, 
Patton Oswalt, 
Ian Holm
"
"
147.
Pirates of the Caribbean: At World's End
(2007)
",(2007),7.1,169 min,PG-13,"
Action, Adventure, Fantasy            ","682,031","
    Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Orlando Bloom, 
Keira Knightley, 
Geoffrey Rush
"
"
148.
Meet the Robinsons
(2007)
",(2007),6.8,95 min,G,"
Animation, Adventure, Comedy            ","109,173","
    Director:
Stephen J. Anderson
| 
    Stars:
Daniel Hansen, 
Wesley Singerman, 
Angela Bassett, 
Jordan Fry
"
"
149.
Johnny Kapahala: Back on Board
(2007 TV Movie)
",(2007 TV Movie),5.4,90 min,Not Rated,"
Comedy, Drama, Family            ","2,368","
    Director:
Eric Bross
| 
    Stars:
Brandon Baker, 
Jake T. Austin, 
Cary-Hiroyuki Tagawa, 
Robyn Lively
"
"
150.
Bridge to Terabithia
(2007)
",(2007),7.2,96 min,PG,"
Drama, Family, Fantasy            ","169,223","
    Director:
Gabor Csupo
| 
    Stars:
Josh Hutcherson, 
AnnaSophia Robb, 
Zooey Deschanel, 
Robert Patrick
"
"
151.
Cinderella III: A Twist in Time
(2007 Video)
",(2007 Video),6,73 min,G,"
Animation, Adventure, Family            ","12,484","
    Director:
Frank Nissen
| 
    Stars:
Jennifer Hale, 
Christopher Daniel Barnes, 
Susanne Blakeslee, 
Tress MacNeille
"
"
152.
That's So Suite Life of Hannah Montana
(2007 Video)
",(2007 Video),6,68 min,TV-G,"
Comedy, Family            ",815,"
    Director:
Richard Correll
| 
    Stars:
Orlando Brown, 
Frances Callier, 
Billy Ray Cyrus, 
Miley Cyrus
"
"
153.
Jump in!
(2007 TV Movie)
",(2007 TV Movie),5.4,85 min,TV-G,"
Comedy, Drama, Family            ","8,318","
    Director:
Paul Hoen
| 
    Stars:
Corbin Bleu, 
Keke Palmer, 
David Reivers, 
Shanica Knowles
"
"
154.
The Fox and the Hound 2
(2006 Video)
",(2006 Video),5.1,69 min,G,"
Animation, Adventure, Comedy            ","5,695","
    Director:
Jim Kammerud
| 
    Stars:
Reba McEntire, 
Patrick Swayze, 
Jonah Bobo, 
Harrison Fahn
"
"
155.
The Santa Clause 3: The Escape Clause
(2006)
",(2006),4.8,92 min,G,"
Adventure, Comedy, Family            ","41,676","
    Director:
Michael Lembeck
| 
    Stars:
Tim Allen, 
Martin Short, 
Elizabeth Mitchell, 
Eric Lloyd
"
"
156.
Return to Halloweentown
(2006 TV Movie)
",(2006 TV Movie),5.3,88 min,TV-PG,"
Action, Comedy, Family            ","7,524","
    Director:
David Jackson
| 
    Stars:
Sara Paxton, 
Judith Hoag, 
Lucas Grabeel, 
Joey Zimmerman
"
"
157.
Invincible
(2006)
",(2006),7,105 min,PG,"
Biography, Drama, Sport            ","74,427","
    Director:
Ericson Core
| 
    Stars:
Mark Wahlberg, 
Greg Kinnear, 
Elizabeth Banks, 
Kevin Conway
"
"
158.
Brother Bear 2
(2006 Video)
",(2006 Video),6.1,74 min,G,"
Animation, Adventure, Comedy            ","19,865","
    Director:
Ben Gluck
| 
    Stars:
Patrick Dempsey, 
Mandy Moore, 
Jeremy Suarez, 
Rick Moranis
"
"
159.
Read It and Weep
(2006 TV Movie)
",(2006 TV Movie),5.5,84 min,TV-G,"
Animation, Comedy, Drama            ","5,808","
    Director:
Paul Hoen
| 
    Stars:
Kay Panabaker, 
Danielle Panabaker, 
Alexandra Krosney, 
Marquise C. Brown
"
"
160.
Pirates of the Caribbean: Dead Man's Chest
(2006)
",(2006),7.4,151 min,PG-13,"
Action, Adventure, Fantasy            ","754,492","
    Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Orlando Bloom, 
Keira Knightley, 
Jack Davenport
"
"
161.
Leroy & Stitch
(2006 Video)
",(2006 Video),6.1,73 min,G,"
Animation, Action, Adventure            ","6,827","
    Directors:
Tony Craig, 
Bobs Gannaway
| 
    Stars:
Daveigh Chase, 
Chris Sanders, 
David Ogden Stiers, 
Kevin McDonald
"
"
162.
Wendy Wu: Homecoming Warrior
(2006 TV Movie)
",(2006 TV Movie),5.4,91 min,TV-PG,"
Action, Adventure, Family            ","7,251","
    Director:
John Laing
| 
    Stars:
Brenda Song, 
Shin Koyamada, 
Susan Chuang, 
Justin Chon
"
"
163.
Cow Belles
(2006 TV Movie)
",(2006 TV Movie),5.1,90 min,TV-G,"
Comedy, Family, Romance            ","6,966","
    Director:
Francine McDougall
| 
    Stars:
Aly Michalka, 
AJ Michalka, 
Jack Coleman, 
Sheila McCarthy
"
"
164.
Cars
(2006)
",(2006),7.2,117 min,G,"
Animation, Adventure, Comedy            ","456,301","
    Directors:
John Lasseter, 
Joe Ranft
| 
    Stars:
Owen Wilson, 
Bonnie Hunt, 
Paul Newman, 
Larry the Cable Guy
"
"
165.
The Shaggy Dog
(2006)
",(2006),4.4,98 min,PG,"
Comedy, Family, Fantasy            ","19,945","
    Director:
Brian Robbins
| 
    Stars:
Tim Allen, 
Kristin Davis, 
Craig Kilborn, 
Zena Grey
"
"
166.
Eight Below
(2006)
",(2006),7.3,120 min,PG,"
Adventure, Drama, Family            ","67,484","
    Director:
Frank Marshall
| 
    Stars:
Paul Walker, 
Jason Biggs, 
Bruce Greenwood, 
Moon Bloodgood
"
"
167.
Bambi II
(2006 Video)
",(2006 Video),6.1,75 min,G,"
Animation, Adventure, Drama            ","11,726","
    Director:
Brian Pimental
| 
    Stars:
Patrick Stewart, 
Alexander Gould, 
Keith Ferguson, 
Brendon Baerg
"
"
168.
High School Musical
(2006 TV Movie)
",(2006 TV Movie),5.5,98 min,TV-G,"
Comedy, Drama, Family            ","94,619","
    Director:
Kenny Ortega
| 
    Stars:
Zac Efron, 
Vanessa Hudgens, 
Ashley Tisdale, 
Lucas Grabeel
"
"
169.
Glory Road
(2006)
",(2006),7.2,118 min,PG,"
Biography, Drama, Sport            ","48,268","
    Director:
James Gartner
| 
    Stars:
Josh Lucas, 
Derek Luke, 
Austin Nichols, 
Jon Voight
"
"
170.
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
(2005)
",(2005),6.9,143 min,PG,"
Adventure, Family, Fantasy            ","419,747","
    Director:
Andrew Adamson
| 
    Stars:
Tilda Swinton, 
Georgie Henley, 
William Moseley, 
Skandar Keynes
"
"
171.
Disney Channel Holiday
(2005 Video)
",(2005 Video),8.2,NA,NA,"
Comedy, Family            ",70,
"
172.
Twitches
(2005 TV Movie)
",(2005 TV Movie),5.7,86 min,TV-PG,"
Comedy, Drama, Family            ","9,407","
    Director:
Stuart Gillard
| 
    Stars:
Tia Mowry, 
Tamera Mowry-Housley, 
Kristen Wilson, 
Patrick Fabian
"
"
173.
Chicken Little
(2005)
",(2005),5.7,81 min,G,"
Animation, Adventure, Comedy            ","99,020","
    Director:
Mark Dindal
| 
    Stars:
Zach Braff, 
Joan Cusack, 
Garry Marshall, 
Don Knotts
"
"
174.
The Greatest Game Ever Played
(2005)
",(2005),7.4,120 min,PG,"
Biography, Drama, Sport            ","32,913","
    Director:
Bill Paxton
| 
    Stars:
Shia LaBeouf, 
Stephen Dillane, 
Elias Koteas, 
James Paxton
"
"
175.
The Proud Family Movie
(2005 TV Movie)
",(2005 TV Movie),5.3,90 min,TV-G,"
Animation, Adventure, Comedy            ","2,019","
    Director:
Bruce W. Smith
| 
    Stars:
Tommy Davidson, 
Kyla Pratt, 
Paula Jai Parker, 
Jo Marie Payton
"
"
176.
Lilo & Stitch 2: Stitch Has a Glitch
(2005 Video)
",(2005 Video),6.2,68 min,PG,"
Animation, Comedy, Drama            ","16,924","
    Directors:
Michael LaBash, 
Tony Leondis
| 
    Stars:
Chris Sanders, 
Dakota Fanning, 
Tia Carrere, 
David Ogden Stiers
"
"
177.
Sky High
(2005)
",(2005),6.3,100 min,PG,"
Action, Comedy, Family            ","93,197","
    Director:
Mike Mitchell
| 
    Stars:
Kurt Russell, 
Kelly Preston, 
Michael Angarano, 
Danielle Panabaker
"
"
178.
Herbie Fully Loaded
(2005)
",(2005),4.9,101 min,G,"
Adventure, Comedy, Family            ","50,177","
    Director:
Angela Robinson
| 
    Stars:
Lindsay Lohan, 
Michael Keaton, 
Cheryl Hines, 
Breckin Meyer
"
"
179.
Tarzan II
(2005 Video)
",(2005 Video),5.5,72 min,G,"
Animation, Adventure, Comedy            ","12,215","
    Director:
Brian Smith
| 
    Stars:
Harrison Chad, 
George Carlin, 
Brad Garrett, 
Ron Perlman
"
"
180.
The Cheetah Girls 2
(2005 TV Movie)
",(2005 TV Movie),5,96 min,TV-G,"
Comedy, Drama, Family            ","6,820","
    Director:
Kenny Ortega
| 
    Stars:
Raven-Symoné, 
Adrienne Houghton, 
Sabrina Bryan, 
Kiely Williams
"
"
181.
The Muppets' Wizard of Oz
(2005 TV Movie)
",(2005 TV Movie),5.1,120 min,TV-PG,"
Adventure, Comedy, Family            ","3,848","
    Director:
Kirk R. Thatcher
| 
    Stars:
Ashanti, 
Jeffrey Tambor, 
Quentin Tarantino, 
David Alan Grier
"
"
182.
Kim Possible: So the Drama
(2005 TV Movie)
",(2005 TV Movie),7.1,71 min,TV-G,"
Animation, Action, Adventure            ","4,932","
    Director:
Steve Loter
| 
    Stars:
Christy Carlson Romano, 
Will Friedle, 
Nancy Cartwright, 
Tahj Mowry
"
"
183.
Valiant
(2005)
",(2005),5.5,76 min,G,"
Animation, Adventure, Comedy            ","24,112","
    Director:
Gary Chapman
| 
    Stars:
Ewan McGregor, 
Ricky Gervais, 
Tim Curry, 
Jim Broadbent
"
"
184.
Ice Princess
(2005)
",(2005),6,98 min,G,"
Comedy, Drama, Family            ","28,585","
    Director:
Tim Fywell
| 
    Stars:
Michelle Trachtenberg, 
Kim Cattrall, 
Trevor Blumas, 
Joan Cusack
"
"
185.
The Pacifier
(2005)
",(2005),5.6,95 min,PG,"
Action, Comedy, Drama            ","99,532","
    Director:
Adam Shankman
| 
    Stars:
Vin Diesel, 
Brittany Snow, 
Max Thieriot, 
Brad Garrett
"
"
186.
Aliens of the Deep
(2005)
",(2005),6.3,100 min,G,"
Documentary, Family            ","3,362","
    Directors:
James Cameron, 
Steven Quale
| 
    Stars:
James Cameron, 
Anatoly M. Sagalevitch, 
Genya Chernaiev, 
Victor Nischeta
"
"
187.
Mickey's Twice Upon a Christmas
(2004 Video)
",(2004 Video),6.4,68 min,G,"
Animation, Comedy, Family            ","5,730","
    Directors:
Theresa Cullen, 
Carole Holliday, 
Peggy Holmes, 
Matthew O'Callaghan
| 
    Stars:
Wayne Allwine, 
Tony Anselmo, 
Jeff Bennett, 
Jim Cummings
"
"
188.
National Treasure
(2004)
",(2004),6.9,131 min,PG,"
Action, Adventure, Mystery            ","349,705","
    Director:
Jon Turteltaub
| 
    Stars:
Nicolas Cage, 
Diane Kruger, 
Justin Bartha, 
Sean Bean
"
"
189.
Mulan II
(2004 Video)
",(2004 Video),5.6,79 min,G,"
Animation, Adventure, Comedy            ","28,551","
    Directors:
Darrell Rooney, 
Lynne Southerland
| 
    Stars:
Ming-Na Wen, 
BD Wong, 
Mark Moseley, 
Lucy Liu
"
"
190.
The Incredibles
(2004)
",(2004),8,115 min,PG,"
Animation, Action, Adventure            ","789,176","
    Director:
Brad Bird
| 
    Stars:
Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee
"
"
191.
The Incredibles
(2004)
",(2004),8,115 min,PG,"
Animation, Action, Adventure            ","789,176","
    Director:
Brad Bird
| 
    Stars:
Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee
"
"
192.
Halloweentown High
(2004 TV Movie)
",(2004 TV Movie),6,82 min,TV-G,"
Comedy, Family, Fantasy            ","8,419","
    Director:
Mark A.Z. Dippé
| 
    Stars:
Kimberly J. Brown, 
Debbie Reynolds, 
Judith Hoag, 
Joey Zimmerman
"
"
193.
The Princess Diaries 2: Royal Engagement
(2004)
",(2004),5.8,113 min,G,"
Comedy, Family, Romance            ","87,324","
    Director:
Garry Marshall
| 
    Stars:
Anne Hathaway, 
Callum Blue, 
Julie Andrews, 
Hector Elizondo
"
"
194.
Mickey, Donald, Goofy: The Three Musketeers
(2004 Video)
",(2004 Video),6.4,67 min,G,"
Animation, Adventure, Comedy            ","11,348","
    Director:
Donovan Cook
| 
    Stars:
Wayne Allwine, 
Tony Anselmo, 
Bill Farmer, 
Russi Taylor
"
"
195.
Around the World in 80 Days
(2004)
",(2004),5.9,120 min,PG,"
Action, Adventure, Comedy            ","93,784","
    Director:
Frank Coraci
| 
    Stars:
Jackie Chan, 
Steve Coogan, 
Jim Broadbent, 
Kathy Bates
"
"
196.
America's Heart & Soul
(2004)
",(2004),5.1,84 min,PG,"
Documentary            ",715,"
    Director:
Louie Schwartzberg
| 
    Stars:
George Woodard, 
Charles Jimmie Sr., 
The Vasquez Brothers, 
Frank Pino
"
"
197.
Home on the Range
(2004)
",(2004),5.4,76 min,PG,"
Animation, Adventure, Comedy            ","25,376","
    Directors:
Will Finn, 
John Sanford
| 
    Stars:
Judi Dench, 
Cuba Gooding Jr., 
Jennifer Tilly, 
Randy Quaid
"
"
198.
Winnie the Pooh: Springtime with Roo
(2004 Video)
",(2004 Video),6.3,65 min,G,"
Animation, Adventure, Comedy            ","2,532","
    Directors:
Saul Blinkoff, 
Elliot M. Bour
| 
    Stars:
Jim Cummings, 
Ken Sansom, 
Jimmy Bennett, 
David Ogden Stiers
"
"
199.
Confessions of a Teenage Drama Queen
(2004)
",(2004),4.7,89 min,PG,"
Comedy, Family, Music            ","30,869","
    Director:
Sara Sugarman
| 
    Stars:
Lindsay Lohan, 
Megan Fox, 
Adam Garcia, 
Glenne Headly
"
"
200.
The Lion King 1½
(2004 Video)
",(2004 Video),6.5,77 min,G,"
Animation, Adventure, Comedy            ","45,018","
    Director:
Bradley Raymond
| 
    Stars:
Nathan Lane, 
Ernie Sabella, 
Julie Kavner, 
Jerry Stiller
"
"
201.
Teacher's Pet
(2004)
",(2004),5.7,73 min,PG,"
Animation, Adventure, Comedy            ","1,915","
    Director:
Timothy Björklund
| 
    Stars:
Nathan Lane, 
Shaun Fleming, 
David Ogden Stiers, 
Kelsey Grammer
"
"
202.
Recess: All Growed Down
(2003 Video)
",(2003 Video),6.3,61 min,G,"
Animation, Comedy, Family            ",941,"
    Directors:
Howy Parkins, 
Chuck Sheetz
| 
    Stars:
Rickey D'Shon Collins, 
Jason Davis, 
Ashley Johnson, 
Myles Jeffrey
"
"
203.
The Young Black Stallion
(2003)
",(2003),5.4,50 min,G,"
Adventure, Drama, Family            ","1,293","
    Director:
Simon Wincer
| 
    Stars:
Biana Tamimi, 
Richard Romanus, 
Patrick Elyas, 
Gérard Rudolf
"
"
204.
Kim Possible: A Sitch in Time
(2003 TV Movie)
",(2003 TV Movie),7,66 min,TV-G,"
Animation, Adventure, Comedy            ","4,821","
    Director:
Steve Loter
| 
    Stars:
Christy Carlson Romano, 
Will Friedle, 
Nancy Cartwright, 
Tahj Mowry
"
"
205.
The Haunted Mansion
(2003)
",(2003),5.2,88 min,PG,"
Comedy, Family, Fantasy            ","56,089","
    Director:
Rob Minkoff
| 
    Stars:
Eddie Murphy, 
Marsha Thomason, 
Jennifer Tilly, 
Terence Stamp
"
"
206.
Lilo & Stitch's Island of Adventures
(2003 Video)
",(2003 Video),6.2,45 min,NA,"
Animation            ",99,
"
207.
Brother Bear
(2003)
",(2003),6.8,85 min,G,"
Animation, Adventure, Comedy            ","120,964","
    Directors:
Aaron Blaise, 
Robert Walker
| 
    Stars:
Joaquin Phoenix, 
Jeremy Suarez, 
Rick Moranis, 
Jason Raize
"
"
208.
George of the Jungle 2
(2003 Video)
",(2003 Video),3.3,87 min,PG,"
Adventure, Comedy, Family            ","7,751","
    Director:
David Grossman
| 
    Stars:
Christopher Showerman, 
Julie Benz, 
Angus T. Jones, 
Thomas Haden Church
"
"
209.
The Cheetah Girls
(2003 TV Movie)
",(2003 TV Movie),4.8,100 min,TV-G,"
Comedy, Drama, Family            ","8,669","
    Director:
Oz Scott
| 
    Stars:
Raven-Symoné, 
Adrienne Houghton, 
Kiely Williams, 
Sabrina Bryan
"
"
210.
Freaky Friday
(2003)
",(2003),6.3,97 min,PG,"
Comedy, Family, Fantasy            ","149,580","
    Director:
Mark Waters
| 
    Stars:
Jamie Lee Curtis, 
Lindsay Lohan, 
Mark Harmon, 
Harold Gould
"
"
211.
Pirates of the Caribbean: The Curse of the Black Pearl
(2003)
",(2003),8.1,143 min,PG-13,"
Action, Adventure, Fantasy            ","1,186,533","
    Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Geoffrey Rush, 
Orlando Bloom, 
Keira Knightley
"
"
212.
The Even Stevens Movie
(2003 TV Movie)
",(2003 TV Movie),6.2,93 min,TV-G,"
Comedy, Family            ","7,391","
    Director:
Sean McNamara
| 
    Stars:
Shia LaBeouf, 
Christy Carlson Romano, 
Donna Pescow, 
Tom Virtue
"
"
213.
William Joyce's Rolie Polie Olie: The Baby Bot Chase
(2003 Video)
",(2003 Video),7.1,70 min,G,"
Animation, Adventure, Comedy            ",73,"
    Directors:
Ron Pitts, 
Mike Fallows
| 
    Stars:
Richard Binsley, 
Kristen Bone, 
Rebecca Brenner, 
Cole Caplan
"
"
214.
Finding Nemo
(2003)
",(2003),8.2,100 min,G,"
Animation, Adventure, Comedy            ","1,093,738","
    Directors:
Andrew Stanton, 
Lee Unkrich
| 
    Stars:
Albert Brooks, 
Ellen DeGeneres, 
Alexander Gould, 
Willem Dafoe
"
"
215.
The Lizzie McGuire Movie
(2003)
",(2003),5.5,94 min,PG,"
Adventure, Comedy, Family            ","41,572","
    Director:
Jim Fall
| 
    Stars:
Hilary Duff, 
Adam Lamberg, 
Clayton Snyder, 
Hallie Todd
"
"
216.
Holes
(2003)
",(2003),7,117 min,PG,"
Adventure, Comedy, Drama            ","97,833","
    Director:
Andrew Davis
| 
    Stars:
Shia LaBeouf, 
Sigourney Weaver, 
Jon Voight, 
Tim Blake Nelson
"
"
217.
Ghosts of the Abyss
(2003)
",(2003),6.8,61 min,G,"
Documentary, Family            ","6,298","
    Director:
James Cameron
| 
    Stars:
Bill Paxton, 
Lori Johnston, 
Lewis Abernathy, 
John Broadwater
"
"
218.
Inspector Gadget 2
(2003 Video)
",(2003 Video),3.5,89 min,G,"
Action, Comedy, Crime            ","6,939","
    Director:
Alex Zamm
| 
    Stars:
French Stewart, 
Elaine Hendrix, 
Tony Martin, 
Caitlin Wachs
"
"
219.
Atlantis: Milo's Return
(2003 Video)
",(2003 Video),5,70 min,G,"
Animation, Action, Adventure            ","10,777","
    Directors:
Victor Cook, 
Toby Shelton, 
Tad Stones
| 
    Stars:
James Arnold Taylor, 
Cree Summer, 
John Mahoney, 
Jacqueline Obradors
"
"
220.
The Music Man
(2003 TV Movie)
",(2003 TV Movie),6.2,150 min,TV-G,"
Comedy, Family, Musical            ","2,166","
    Director:
Jeff Bleckner
| 
    Stars:
Matthew Broderick, 
Kristin Chenoweth, 
Victor Garber, 
Debra Monk
"
